year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1902,AL,BLA,NYY,,8,140,50,88,,,N,,715,848,Baltimore Orioles,174606,
1903,AL,NYA,NYY,,4,136,72,62,,,N,N,579,573,New York Highlanders,211808,
1904,AL,NYA,NYY,,2,155,92,59,,,N,,598,526,New York Highlanders,438919,
1905,AL,NYA,NYY,,6,152,71,78,,,N,N,586,621,New York Highlanders,309100,
1906,AL,NYA,NYY,,2,155,90,61,,,N,N,640,543,New York Highlanders,434700,
1907,AL,NYA,NYY,,5,152,70,78,,,N,N,605,667,New York Highlanders,350020,
1908,AL,NYA,NYY,,8,155,51,103,,,N,N,460,713,New York Highlanders,305500,
1909,AL,NYA,NYY,,5,153,74,77,,,N,N,589,587,New York Highlanders,501000,
1910,AL,NYA,NYY,,2,156,88,63,,,N,N,626,557,New York Highlanders,355857,
1911,AL,NYA,NYY,,6,153,76,76,,,N,N,684,724,New York Highlanders,302444,
1912,AL,NYA,NYY,,8,153,50,102,,,N,N,630,842,New York Highlanders,242194,
1913,AL,NYA,NYY,,7,153,57,94,,,N,N,529,668,New York Yankees,357551,
1914,AL,NYA,NYY,,6,157,70,84,,,N,N,537,550,New York Yankees,359477,
1915,AL,NYA,NYY,,5,154,69,83,,,N,N,584,588,New York Yankees,256035,
1916,AL,NYA,NYY,,4,156,80,74,,,N,N,577,561,New York Yankees,469211,
1917,AL,NYA,NYY,,6,155,71,82,,,N,N,524,558,New York Yankees,330294,
1918,AL,NYA,NYY,,4,126,60,63,,,N,N,493,475,New York Yankees,282047,
1919,AL,NYA,NYY,,3,141,80,59,,,N,N,578,506,New York Yankees,619164,
1920,AL,NYA,NYY,,3,154,95,59,,,N,N,838,629,New York Yankees,1289422,
1921,AL,NYA,NYY,,1,153,98,55,,,Y,N,948,708,New York Yankees,1230696,
1922,AL,NYA,NYY,,1,154,94,60,,,Y,N,758,618,New York Yankees,1026134,
1923,AL,NYA,NYY,,1,152,98,54,,,Y,Y,823,622,New York Yankees,1007066,
1924,AL,NYA,NYY,,2,153,89,63,,,N,N,798,667,New York Yankees,1053533,
1925,AL,NYA,NYY,,7,156,69,85,,,N,N,706,774,New York Yankees,697267,
1926,AL,NYA,NYY,,1,155,91,63,,,Y,N,847,713,New York Yankees,1027675,
1927,AL,NYA,NYY,,1,155,110,44,,,Y,Y,975,599,New York Yankees,1164015,
1928,AL,NYA,NYY,,1,154,101,53,,,Y,Y,894,685,New York Yankees,1072132,
1929,AL,NYA,NYY,,2,154,88,66,,,N,N,899,775,New York Yankees,960148,
1930,AL,NYA,NYY,,3,154,86,68,,,N,N,1062,898,New York Yankees,1169230,
1931,AL,NYA,NYY,,2,155,94,59,,,N,N,1067,760,New York Yankees,912437,
1932,AL,NYA,NYY,,1,156,107,47,,,Y,Y,1002,724,New York Yankees,962320,
1933,AL,NYA,NYY,,2,152,91,59,,,N,N,927,768,New York Yankees,728014,
1934,AL,NYA,NYY,,2,154,94,60,,,N,N,842,669,New York Yankees,854682,
1935,AL,NYA,NYY,,2,149,89,60,,,N,N,818,632,New York Yankees,657508,
1936,AL,NYA,NYY,,1,155,102,51,,,Y,Y,1065,731,New York Yankees,976913,
1937,AL,NYA,NYY,,1,157,102,52,,,Y,Y,979,671,New York Yankees,998148,
1938,AL,NYA,NYY,,1,157,99,53,,,Y,Y,966,710,New York Yankees,970916,
1939,AL,NYA,NYY,,1,152,106,45,,,Y,Y,967,556,New York Yankees,859785,
1940,AL,NYA,NYY,,3,155,88,66,,,N,N,817,671,New York Yankees,988975,
1941,AL,NYA,NYY,,1,156,101,53,,,Y,Y,830,631,New York Yankees,964722,
1942,AL,NYA,NYY,,1,154,103,51,,,Y,N,801,507,New York Yankees,922011,
1943,AL,NYA,NYY,,1,155,98,56,,,Y,Y,669,542,New York Yankees,618330,
1944,AL,NYA,NYY,,3,154,83,71,,,N,N,674,617,New York Yankees,789995,
1945,AL,NYA,NYY,,4,152,81,71,,,N,N,676,606,New York Yankees,881845,
1946,AL,NYA,NYY,,3,154,87,67,,,N,N,684,547,New York Yankees,2265512,
1947,AL,NYA,NYY,,1,155,97,57,,,Y,Y,794,568,New York Yankees,2178937,
1948,AL,NYA,NYY,,3,154,94,60,,,N,N,857,633,New York Yankees,2373901,
1949,AL,NYA,NYY,,1,155,97,57,,,Y,Y,829,637,New York Yankees,2283676,
1950,AL,NYA,NYY,,1,155,98,56,,,Y,Y,914,691,New York Yankees,2081380,
1951,AL,NYA,NYY,,1,154,98,56,,,Y,Y,798,621,New York Yankees,1950107,
1952,AL,NYA,NYY,,1,154,95,59,,,Y,Y,727,557,New York Yankees,1629665,
1953,AL,NYA,NYY,,1,151,99,52,,,Y,Y,801,547,New York Yankees,1537811,
1954,AL,NYA,NYY,,2,155,103,51,,,N,N,805,563,New York Yankees,1475171,
1955,AL,NYA,NYY,,1,154,96,58,,,Y,N,762,569,New York Yankees,1490138,
1956,AL,NYA,NYY,,1,154,97,57,,,Y,Y,857,631,New York Yankees,1491784,
1957,AL,NYA,NYY,,1,154,98,56,,,Y,N,723,534,New York Yankees,1497134,
1958,AL,NYA,NYY,,1,155,92,62,,,Y,Y,759,577,New York Yankees,1428438,
1959,AL,NYA,NYY,,3,155,79,75,,,N,N,687,647,New York Yankees,1552030,
1960,AL,NYA,NYY,,1,155,97,57,,,Y,N,746,627,New York Yankees,1627349,
1961,AL,NYA,NYY,,1,163,109,53,,,Y,Y,827,612,New York Yankees,1747725,
1962,AL,NYA,NYY,,1,162,96,66,,,Y,Y,817,680,New York Yankees,1493574,
1963,AL,NYA,NYY,,1,161,104,57,,,Y,N,714,547,New York Yankees,1308920,
1964,AL,NYA,NYY,,1,164,99,63,,,Y,N,730,577,New York Yankees,1305638,
1965,AL,NYA,NYY,,6,162,77,85,,,N,N,611,604,New York Yankees,1213552,
1966,AL,NYA,NYY,,10,160,70,89,,,N,N,611,612,New York Yankees,1124648,
1967,AL,NYA,NYY,,9,163,72,90,,,N,N,522,621,New York Yankees,1259514,
1968,AL,NYA,NYY,,5,164,83,79,,,N,N,536,531,New York Yankees,1185666,
1969,AL,NYA,NYY,E,5,162,80,81,N,,N,N,562,587,New York Yankees,1067996,
1970,AL,NYA,NYY,E,2,163,93,69,N,,N,N,680,612,New York Yankees,1136879,
1971,AL,NYA,NYY,E,4,162,82,80,N,,N,N,648,641,New York Yankees,1070771,
1972,AL,NYA,NYY,E,4,155,79,76,N,,N,N,557,527,New York Yankees,966328,
1973,AL,NYA,NYY,E,4,162,80,82,N,,N,N,641,610,New York Yankees,1262103,
1974,AL,NYA,NYY,E,2,162,89,73,N,,N,N,671,623,New York Yankees,1273075,
1975,AL,NYA,NYY,E,3,160,83,77,N,,N,N,681,588,New York Yankees,1288048,
1976,AL,NYA,NYY,E,1,159,97,62,Y,,Y,N,730,575,New York Yankees,2012434,
1977,AL,NYA,NYY,E,1,162,100,62,Y,,Y,Y,831,651,New York Yankees,2103092,
1978,AL,NYA,NYY,E,1,163,100,63,Y,,Y,Y,735,582,New York Yankees,2335871,
1979,AL,NYA,NYY,E,4,160,89,71,N,,N,N,734,672,New York Yankees,2537765,
1980,AL,NYA,NYY,E,1,162,103,59,Y,,N,N,820,662,New York Yankees,2627417,
1981,AL,NYA,NYY,E,4,107,59,48,Y,,Y,N,421,343,New York Yankees,1614353,
1982,AL,NYA,NYY,E,5,162,79,83,N,,N,N,709,716,New York Yankees,2041219,
1983,AL,NYA,NYY,E,3,162,91,71,N,,N,N,770,703,New York Yankees,2257976,
1984,AL,NYA,NYY,E,3,162,87,75,N,,N,N,758,679,New York Yankees,1821815,
1985,AL,NYA,NYY,E,2,161,97,64,N,,N,N,839,660,New York Yankees,2214587,14238204
1986,AL,NYA,NYY,E,2,162,90,72,N,,N,N,797,738,New York Yankees,2268030,18494253
1987,AL,NYA,NYY,E,4,162,89,73,N,,N,N,788,758,New York Yankees,2427672,17099714
1988,AL,NYA,NYY,E,5,161,85,76,N,,N,N,772,748,New York Yankees,2633701,19441152
1989,AL,NYA,NYY,E,5,161,74,87,N,,N,N,698,792,New York Yankees,2170485,17114375
1990,AL,NYA,NYY,E,7,162,67,95,N,,N,N,603,749,New York Yankees,2006436,20912318
1991,AL,NYA,NYY,E,5,162,71,91,N,,N,N,674,777,New York Yankees,1863733,27344168
1992,AL,NYA,NYY,E,4,162,76,86,N,,N,N,733,746,New York Yankees,1748737,37543334
1993,AL,NYA,NYY,E,2,162,88,74,N,,N,N,821,761,New York Yankees,2416942,42624900
1994,AL,NYA,NYY,E,1,113,70,43,,,,,670,534,New York Yankees,1675556,45731334
1995,AL,NYA,NYY,E,2,145,79,65,N,Y,N,N,749,688,New York Yankees,1705263,48874851
1996,AL,NYA,NYY,E,1,162,92,70,Y,N,Y,Y,871,787,New York Yankees,2250877,54191792
1997,AL,NYA,NYY,E,2,162,96,66,N,Y,N,N,891,688,New York Yankees,2580325,62241545
1998,AL,NYA,NYY,E,1,162,114,48,Y,N,Y,Y,965,656,New York Yankees,2955193,66806867
1999,AL,NYA,NYY,E,1,162,98,64,Y,N,Y,Y,900,731,New York Yankees,3292736,86734359
2000,AL,NYA,NYY,E,1,161,87,74,Y,N,Y,Y,871,814,New York Yankees,3055435,92338260
2001,AL,NYA,NYY,E,1,161,95,65,Y,N,Y,N,804,713,New York Yankees,3264907,112287143
2002,AL,NYA,NYY,E,1,161,103,58,Y,N,N,N,897,697,New York Yankees,3465807,125928583
2003,AL,NYA,NYY,E,1,163,101,61,Y,N,Y,N,877,716,New York Yankees,3465600,152749814
2004,AL,NYA,NYY,E,1,162,101,61,Y,N,N,N,897,808,New York Yankees,3775292,184193950
2005,AL,NYA,NYY,E,1,162,95,67,Y,N,N,N,886,789,New York Yankees,4090696,208306817
2006,AL,NYA,NYY,E,1,162,97,65,Y,N,N,N,930,767,New York Yankees,4248067,194663079
2007,AL,NYA,NYY,E,2,162,94,68,N,Y,N,N,968,777,New York Yankees,4271083,189259045
2008,AL,NYA,NYY,E,3,162,89,73,N,N,N,N,789,727,New York Yankees,4298655,207896789
2009,AL,NYA,NYY,E,1,162,103,59,Y,N,Y,Y,915,753,New York Yankees,3719358,201449189
2010,AL,NYA,NYY,E,2,162,95,67,N,Y,N,N,859,693,New York Yankees,3765807,206333389
2011,AL,NYA,NYY,E,1,162,97,65,Y,N,N,N,867,657,New York Yankees,3653680,202275028
2012,AL,NYA,NYY,E,1,162,95,67,Y,N,N,N,804,668,New York Yankees,3542406,196522289
2013,AL,NYA,NYY,E,4,162,85,77,N,N,N,N,650,671,New York Yankees,3279589,231978886
2014,AL,NYA,NYY,E,2,162,84,78,N,N,N,N,633,664,New York Yankees,3401624,197543907
2015,AL,NYA,NYY,E,2,162,87,75,N,Y,N,N,764,698,New York Yankees,3193795,212751957
2016,AL,NYA,NYY,E,4,162,84,78,N,N,N,N,680,702,New York Yankees,3063405,222997792
2017,AL,NYA,NYY,E,2,162,91,71,N,Y,N,N,858,660,New York Yankees,3146966,201539699
2018,AL,NYA,NYY,E,2,162,100,62,N,Y,N,N,851,669,New York Yankees,3482855,168540000
2019,AL,NYA,NYY,E,1,162,103,59,Y,N,N,N,943,739,New York Yankees,3304404,206084848
2020,AL,NYA,NYY,E,2,60,33,27,N,Y,N,N,315,270,New York Yankees,0,110852878
1901,AL,PHA,OAK,,4,137,74,62,,,N,,805,760,Philadelphia Athletics,206329,
1902,AL,PHA,OAK,,1,137,83,53,,,Y,,775,636,Philadelphia Athletics,420078,
1903,AL,PHA,OAK,,2,137,75,60,,,N,N,597,519,Philadelphia Athletics,422473,
1904,AL,PHA,OAK,,5,155,81,70,,,N,,557,503,Philadelphia Athletics,512294,
1905,AL,PHA,OAK,,1,152,92,56,,,Y,N,623,488,Philadelphia Athletics,554576,
1906,AL,PHA,OAK,,4,149,78,67,,,N,N,561,539,Philadelphia Athletics,489129,
1907,AL,PHA,OAK,,2,150,88,57,,,N,N,584,511,Philadelphia Athletics,625581,
1908,AL,PHA,OAK,,6,157,68,85,,,N,N,486,562,Philadelphia Athletics,455062,
1909,AL,PHA,OAK,,2,153,95,58,,,N,N,605,411,Philadelphia Athletics,674915,
1910,AL,PHA,OAK,,1,155,102,48,,,Y,Y,674,442,Philadelphia Athletics,588905,
1911,AL,PHA,OAK,,1,152,101,50,,,Y,Y,861,601,Philadelphia Athletics,605749,
1912,AL,PHA,OAK,,3,153,90,62,,,N,N,779,658,Philadelphia Athletics,517653,
1913,AL,PHA,OAK,,1,153,96,57,,,Y,Y,794,592,Philadelphia Athletics,571896,
1914,AL,PHA,OAK,,1,158,99,53,,,Y,N,749,529,Philadelphia Athletics,346641,
1915,AL,PHA,OAK,,8,154,43,109,,,N,N,545,888,Philadelphia Athletics,146223,
1916,AL,PHA,OAK,,8,154,36,117,,,N,N,447,776,Philadelphia Athletics,184471,
1917,AL,PHA,OAK,,8,154,55,98,,,N,N,529,691,Philadelphia Athletics,221432,
1918,AL,PHA,OAK,,8,130,52,76,,,N,N,412,538,Philadelphia Athletics,177926,
1919,AL,PHA,OAK,,8,140,36,104,,,N,N,457,742,Philadelphia Athletics,225209,
1920,AL,PHA,OAK,,8,156,48,106,,,N,N,558,834,Philadelphia Athletics,287888,
1921,AL,PHA,OAK,,8,155,53,100,,,N,N,657,894,Philadelphia Athletics,344430,
1922,AL,PHA,OAK,,7,155,65,89,,,N,N,705,830,Philadelphia Athletics,425356,
1923,AL,PHA,OAK,,6,153,69,83,,,N,N,661,761,Philadelphia Athletics,534122,
1924,AL,PHA,OAK,,5,152,71,81,,,N,N,685,778,Philadelphia Athletics,531992,
1925,AL,PHA,OAK,,2,153,88,64,,,N,N,831,713,Philadelphia Athletics,869703,
1926,AL,PHA,OAK,,3,150,83,67,,,N,N,677,570,Philadelphia Athletics,714508,
1927,AL,PHA,OAK,,2,155,91,63,,,N,N,841,726,Philadelphia Athletics,605529,
1928,AL,PHA,OAK,,2,153,98,55,,,N,N,829,615,Philadelphia Athletics,689756,
1929,AL,PHA,OAK,,1,151,104,46,,,Y,Y,901,615,Philadelphia Athletics,839176,
1930,AL,PHA,OAK,,1,154,102,52,,,Y,Y,951,751,Philadelphia Athletics,721663,
1931,AL,PHA,OAK,,1,153,107,45,,,Y,N,858,626,Philadelphia Athletics,627464,
1932,AL,PHA,OAK,,2,154,94,60,,,N,N,981,752,Philadelphia Athletics,405500,
1933,AL,PHA,OAK,,3,152,79,72,,,N,N,875,853,Philadelphia Athletics,297138,
1934,AL,PHA,OAK,,5,153,68,82,,,N,N,764,838,Philadelphia Athletics,305847,
1935,AL,PHA,OAK,,8,149,58,91,,,N,N,710,869,Philadelphia Athletics,233173,
1936,AL,PHA,OAK,,8,154,53,100,,,N,N,714,1045,Philadelphia Athletics,285173,
1937,AL,PHA,OAK,,7,154,54,97,,,N,N,699,854,Philadelphia Athletics,430738,
1938,AL,PHA,OAK,,8,154,53,99,,,N,N,726,956,Philadelphia Athletics,385357,
1939,AL,PHA,OAK,,7,153,55,97,,,N,N,711,1022,Philadelphia Athletics,395022,
1940,AL,PHA,OAK,,8,154,54,100,,,N,N,703,932,Philadelphia Athletics,432145,
1941,AL,PHA,OAK,,8,154,64,90,,,N,N,713,840,Philadelphia Athletics,528894,
1942,AL,PHA,OAK,,8,154,55,99,,,N,N,549,801,Philadelphia Athletics,423487,
1943,AL,PHA,OAK,,8,155,49,105,,,N,N,497,717,Philadelphia Athletics,376735,
1944,AL,PHA,OAK,,5,155,72,82,,,N,N,525,594,Philadelphia Athletics,505322,
1945,AL,PHA,OAK,,8,153,52,98,,,N,N,494,638,Philadelphia Athletics,462631,
1946,AL,PHA,OAK,,8,155,49,105,,,N,N,529,680,Philadelphia Athletics,621793,
1947,AL,PHA,OAK,,5,156,78,76,,,N,N,633,614,Philadelphia Athletics,911566,
1948,AL,PHA,OAK,,4,154,84,70,,,N,N,729,735,Philadelphia Athletics,945076,
1949,AL,PHA,OAK,,5,154,81,73,,,N,N,726,725,Philadelphia Athletics,816514,
1950,AL,PHA,OAK,,8,154,52,102,,,N,N,670,913,Philadelphia Athletics,309805,
1951,AL,PHA,OAK,,6,154,70,84,,,N,N,736,745,Philadelphia Athletics,465469,
1952,AL,PHA,OAK,,4,155,79,75,,,N,N,664,723,Philadelphia Athletics,627100,
1953,AL,PHA,OAK,,7,157,59,95,,,N,N,632,799,Philadelphia Athletics,362113,
1954,AL,PHA,OAK,,8,156,51,103,,,N,N,542,875,Philadelphia Athletics,304666,
1955,AL,KC1,OAK,,6,155,63,91,,,N,N,638,911,Kansas City Athletics,1393054,
1956,AL,KC1,OAK,,8,154,52,102,,,N,N,619,831,Kansas City Athletics,1015154,
1957,AL,KC1,OAK,,7,154,59,94,,,N,N,563,710,Kansas City Athletics,901067,
1958,AL,KC1,OAK,,7,156,73,81,,,N,N,642,713,Kansas City Athletics,925090,
1959,AL,KC1,OAK,,7,154,66,88,,,N,N,681,760,Kansas City Athletics,963683,
1960,AL,KC1,OAK,,8,155,58,96,,,N,N,615,756,Kansas City Athletics,774944,
1961,AL,KC1,OAK,,9,162,61,100,,,N,N,683,863,Kansas City Athletics,683817,
1962,AL,KC1,OAK,,9,162,72,90,,,N,N,745,837,Kansas City Athletics,635675,
1963,AL,KC1,OAK,,8,162,73,89,,,N,N,615,704,Kansas City Athletics,762364,
1964,AL,KC1,OAK,,10,163,57,105,,,N,N,621,836,Kansas City Athletics,642478,
1965,AL,KC1,OAK,,10,162,59,103,,,N,N,585,755,Kansas City Athletics,528344,
1966,AL,KC1,OAK,,7,160,74,86,,,N,N,564,648,Kansas City Athletics,773929,
1967,AL,KC1,OAK,,10,161,62,99,,,N,N,533,660,Kansas City Athletics,726639,
1968,AL,OAK,OAK,,6,163,82,80,,,N,N,569,544,Oakland Athletics,837466,
1969,AL,OAK,OAK,W,2,162,88,74,N,,N,N,740,678,Oakland Athletics,778232,
1970,AL,OAK,OAK,W,2,162,89,73,N,,N,N,678,593,Oakland Athletics,778355,
1971,AL,OAK,OAK,W,1,161,101,60,Y,,N,N,691,564,Oakland Athletics,914993,
1972,AL,OAK,OAK,W,1,155,93,62,Y,,Y,Y,604,457,Oakland Athletics,921323,
1973,AL,OAK,OAK,W,1,162,94,68,Y,,Y,Y,758,615,Oakland Athletics,1000763,
1974,AL,OAK,OAK,W,1,162,90,72,Y,,Y,Y,689,551,Oakland Athletics,845693,
1975,AL,OAK,OAK,W,1,162,98,64,Y,,N,N,758,606,Oakland Athletics,1075518,
1976,AL,OAK,OAK,W,2,161,87,74,N,,N,N,686,598,Oakland Athletics,780593,
1977,AL,OAK,OAK,W,7,161,63,98,N,,N,N,605,749,Oakland Athletics,495599,
1978,AL,OAK,OAK,W,6,162,69,93,N,,N,N,532,690,Oakland Athletics,526999,
1979,AL,OAK,OAK,W,7,162,54,108,N,,N,N,573,860,Oakland Athletics,306763,
1980,AL,OAK,OAK,W,2,162,83,79,N,,N,N,686,642,Oakland Athletics,842259,
1981,AL,OAK,OAK,W,1,109,64,45,Y,,N,N,458,403,Oakland Athletics,1304052,
1982,AL,OAK,OAK,W,5,162,68,94,N,,N,N,691,819,Oakland Athletics,1735489,
1983,AL,OAK,OAK,W,4,162,74,88,N,,N,N,708,782,Oakland Athletics,1294941,
1984,AL,OAK,OAK,W,4,162,77,85,N,,N,N,738,796,Oakland Athletics,1353281,
1985,AL,OAK,OAK,W,4,162,77,85,N,,N,N,757,787,Oakland Athletics,1334599,9058606
1986,AL,OAK,OAK,W,3,162,76,86,N,,N,N,731,760,Oakland Athletics,1314646,9779421
1987,AL,OAK,OAK,W,3,162,81,81,N,,N,N,806,789,Oakland Athletics,1678921,11680839
1988,AL,OAK,OAK,W,1,162,104,58,Y,,Y,N,800,620,Oakland Athletics,2287335,9690000
1989,AL,OAK,OAK,W,1,162,99,63,Y,,Y,Y,712,576,Oakland Athletics,2667225,15613070
1990,AL,OAK,OAK,W,1,162,103,59,Y,,Y,N,733,570,Oakland Athletics,2900217,19887501
1991,AL,OAK,OAK,W,4,162,84,78,N,,N,N,760,776,Oakland Athletics,2713493,36999167
1992,AL,OAK,OAK,W,1,162,96,66,Y,,N,N,745,672,Oakland Athletics,2494160,41035000
1993,AL,OAK,OAK,W,7,162,68,94,N,,N,N,715,846,Oakland Athletics,2035025,37812333
1994,AL,OAK,OAK,W,2,114,51,63,,,,,549,589,Oakland Athletics,1242692,34172500
1995,AL,OAK,OAK,W,4,144,67,77,N,N,N,N,730,761,Oakland Athletics,1174310,37739225
1996,AL,OAK,OAK,W,3,162,78,84,N,N,N,N,861,900,Oakland Athletics,1148380,21243000
1997,AL,OAK,OAK,W,4,162,65,97,N,N,N,N,764,946,Oakland Athletics,1264218,24018500
1998,AL,OAK,OAK,W,4,162,74,88,N,N,N,N,804,866,Oakland Athletics,1232343,21303000
1999,AL,OAK,OAK,W,2,162,87,75,N,N,N,N,893,846,Oakland Athletics,1434610,24431833
2000,AL,OAK,OAK,W,1,161,91,70,Y,N,N,N,947,813,Oakland Athletics,1603744,31971333
2001,AL,OAK,OAK,W,2,162,102,60,N,Y,N,N,884,645,Oakland Athletics,2133277,33810750
2002,AL,OAK,OAK,W,1,162,103,59,Y,N,N,N,800,654,Oakland Athletics,2169811,40004167
2003,AL,OAK,OAK,W,1,162,96,66,Y,N,N,N,768,643,Oakland Athletics,2216596,50260834
2004,AL,OAK,OAK,W,2,162,91,71,N,N,N,N,793,742,Oakland Athletics,2201516,59425667
2005,AL,OAK,OAK,W,2,162,88,74,N,N,N,N,772,658,Oakland Athletics,2109118,55425762
2006,AL,OAK,OAK,W,1,162,93,69,Y,N,N,N,771,727,Oakland Athletics,1976625,62243079
2007,AL,OAK,OAK,W,3,162,76,86,N,N,N,N,741,758,Oakland Athletics,1921844,79366940
2008,AL,OAK,OAK,W,3,161,75,86,N,N,N,N,646,690,Oakland Athletics,1665256,47967126
2009,AL,OAK,OAK,W,4,162,75,87,N,N,N,N,759,761,Oakland Athletics,1408783,61910000
2010,AL,OAK,OAK,W,2,162,81,81,N,N,N,N,663,626,Oakland Athletics,1418391,55254900
2011,AL,OAK,OAK,W,3,162,74,88,N,N,N,N,645,679,Oakland Athletics,1476791,66536500
2012,AL,OAK,OAK,W,1,162,94,68,Y,N,N,N,713,614,Oakland Athletics,1679013,55372500
2013,AL,OAK,OAK,W,1,162,96,66,Y,N,N,N,767,625,Oakland Athletics,1809302,60132500
2014,AL,OAK,OAK,W,2,162,88,74,N,Y,N,N,729,572,Oakland Athletics,2003628,72408400
2015,AL,OAK,OAK,W,5,162,68,94,N,N,N,N,694,729,Oakland Athletics,1768175,79053501
2016,AL,OAK,OAK,W,5,162,69,93,N,N,N,N,653,761,Oakland Athletics,1521506,86806234
2017,AL,OAK,OAK,W,5,162,75,87,N,N,N,N,739,826,Oakland Athletics,1475721,81783333
2018,AL,OAK,OAK,W,2,162,97,65,N,Y,N,N,813,674,Oakland Athletics,1573616,68530000
2019,AL,OAK,OAK,W,2,162,97,65,N,Y,N,N,845,680,Oakland Athletics,1662211,91318333
2020,AL,OAK,OAK,W,1,60,36,24,Y,N,N,N,274,232,Oakland Athletics,0,35520598
1901,NL,PHI,PHI,,2,140,83,57,,,N,,668,543,Philadelphia Phillies,234937,
1902,NL,PHI,PHI,,7,138,56,81,,,N,,484,649,Philadelphia Phillies,112066,
1903,NL,PHI,PHI,,7,139,49,86,,,N,N,617,738,Philadelphia Phillies,151729,
1904,NL,PHI,PHI,,8,155,52,100,,,N,,571,784,Philadelphia Phillies,140771,
1905,NL,PHI,PHI,,4,155,83,69,,,N,N,708,603,Philadelphia Phillies,317932,
1906,NL,PHI,PHI,,4,154,71,82,,,N,N,528,564,Philadelphia Phillies,294680,
1907,NL,PHI,PHI,,3,149,83,64,,,N,N,514,476,Philadelphia Phillies,341216,
1908,NL,PHI,PHI,,4,155,83,71,,,N,N,504,445,Philadelphia Phillies,420660,
1909,NL,PHI,PHI,,5,154,74,79,,,N,N,517,519,Philadelphia Phillies,303177,
1910,NL,PHI,PHI,,4,157,78,75,,,N,N,674,639,Philadelphia Phillies,296597,
1911,NL,PHI,PHI,,4,153,79,73,,,N,N,658,669,Philadelphia Phillies,416000,
1912,NL,PHI,PHI,,5,152,73,79,,,N,N,670,688,Philadelphia Phillies,250000,
1913,NL,PHI,PHI,,2,159,88,63,,,N,N,693,636,Philadelphia Phillies,470000,
1914,NL,PHI,PHI,,6,154,74,80,,,N,N,651,687,Philadelphia Phillies,138474,
1915,NL,PHI,PHI,,1,153,90,62,,,Y,N,589,463,Philadelphia Phillies,449898,
1916,NL,PHI,PHI,,2,154,91,62,,,N,N,581,489,Philadelphia Phillies,515365,
1917,NL,PHI,PHI,,2,154,87,65,,,N,N,578,500,Philadelphia Phillies,354428,
1918,NL,PHI,PHI,,6,125,55,68,,,N,N,430,507,Philadelphia Phillies,122266,
1919,NL,PHI,PHI,,8,138,47,90,,,N,N,510,699,Philadelphia Phillies,240424,
1920,NL,PHI,PHI,,8,153,62,91,,,N,N,565,714,Philadelphia Phillies,330998,
1921,NL,PHI,PHI,,8,154,51,103,,,N,N,617,919,Philadelphia Phillies,273961,
1922,NL,PHI,PHI,,7,154,57,96,,,N,N,738,920,Philadelphia Phillies,232471,
1923,NL,PHI,PHI,,8,155,50,104,,,N,N,748,1008,Philadelphia Phillies,228168,
1924,NL,PHI,PHI,,7,152,55,96,,,N,N,676,849,Philadelphia Phillies,299818,
1925,NL,PHI,PHI,,6,153,68,85,,,N,N,812,930,Philadelphia Phillies,304905,
1926,NL,PHI,PHI,,8,152,58,93,,,N,N,687,900,Philadelphia Phillies,240600,
1927,NL,PHI,PHI,,8,155,51,103,,,N,N,678,903,Philadelphia Phillies,305420,
1928,NL,PHI,PHI,,8,152,43,109,,,N,N,660,957,Philadelphia Phillies,182168,
1929,NL,PHI,PHI,,5,154,71,82,,,N,N,897,1032,Philadelphia Phillies,281200,
1930,NL,PHI,PHI,,8,156,52,102,,,N,N,944,1199,Philadelphia Phillies,299007,
1931,NL,PHI,PHI,,6,155,66,88,,,N,N,684,828,Philadelphia Phillies,284849,
1932,NL,PHI,PHI,,4,154,78,76,,,N,N,844,796,Philadelphia Phillies,268914,
1933,NL,PHI,PHI,,7,152,60,92,,,N,N,607,760,Philadelphia Phillies,156421,
1934,NL,PHI,PHI,,7,149,56,93,,,N,N,675,794,Philadelphia Phillies,169885,
1935,NL,PHI,PHI,,7,156,64,89,,,N,N,685,871,Philadelphia Phillies,205470,
1936,NL,PHI,PHI,,8,154,54,100,,,N,N,726,874,Philadelphia Phillies,249219,
1937,NL,PHI,PHI,,7,155,61,92,,,N,N,724,869,Philadelphia Phillies,212790,
1938,NL,PHI,PHI,,8,151,45,105,,,N,N,550,840,Philadelphia Phillies,166111,
1939,NL,PHI,PHI,,8,152,45,106,,,N,N,553,856,Philadelphia Phillies,277973,
1940,NL,PHI,PHI,,8,153,50,103,,,N,N,494,750,Philadelphia Phillies,207177,
1941,NL,PHI,PHI,,8,155,43,111,,,N,N,501,793,Philadelphia Phillies,231401,
1942,NL,PHI,PHI,,8,151,42,109,,,N,N,394,706,Philadelphia Phillies,230183,
1943,NL,PHI,PHI,,7,157,64,90,,,N,N,571,676,Philadelphia Blue Jays,466975,
1944,NL,PHI,PHI,,8,154,61,92,,,N,N,539,658,Philadelphia Blue Jays,369586,
1945,NL,PHI,PHI,,8,154,46,108,,,N,N,548,865,Philadelphia Phillies,285057,
1946,NL,PHI,PHI,,5,155,69,85,,,N,N,560,705,Philadelphia Phillies,1045247,
1947,NL,PHI,PHI,,7,155,62,92,,,N,N,589,687,Philadelphia Phillies,907332,
1948,NL,PHI,PHI,,6,155,66,88,,,N,N,591,729,Philadelphia Phillies,767429,
